SUBJ	EXPLAIN	FOLDER	FILE	BEGIN	END	GESTURE	DISK	HANDS	DISTANCE
5	1	5	1-1	4.43	5.36	POINTING	a	RH mov, LH stat	2
5	1	5	1-1	8.17	8.7	POINTING	b	RH mov, LH stat	1
5	1	5	1-1	10.25	11.07	POINTING	a	RH mov, LH stat	1
5	1	5	1-1	16.2	16.93	GRASPING	C	RH mov, LH stat	2
5	1	5	1-1	20.1	20.89	GRASPING	a	RH mov, LH stat	1
5	1	5	1-1	22.769	24.18	GRASPING	b	RH mov, LH hold	1
5	1	5	1-1	25.604	26.522	GRASPING	a	RH mov, LH hold	2
5	1	5	1-2	13.65	14.321	GRASPING	b	RH	1
5	1	5	1-3	14.98	15.74	GRASPING	b	RH mov, LH hold	2
5	1	5	1-3	23.665	24.245	POINTING	a	RH	1
5	1	5	1-3	26.6	27.23	POINTING	C	RH	2
5	1	5	1-5	7.82	8.55	POINTING	a	RH mov, LH stat	2
5	1	5	1-5	12.46	13.56	POINTING	b	RH mov, LH hold	1
5	1	5	1-5	14.665	15.615	POINTING	a	RH	1
5	1	5	1-5	17.195	18.865	POINTING	C	RH	2
5	1	5	1-5	25.465	26.395	POINTING	a	RH	1
5	1	5	1-5	27.545	28.645	POINTING	b	RH	1
5	1	5	1-6	16.9	18.74	POINTING	b	RH mov, LH hold	1
5	1	5	1-6	25.93	26.84	POINTING	a	RH mov, LH hold	1
5	1	5	1-6	28.22	28.67	POINTING	C	RH mov, LH stat	2
5	1	5	1-7	0.82	2.21	POINTING	C	RH	1
5	1	5	1-7	4.11	4.56	GRASPING	a	RH mov, LH stat	2
5	1	5	1-7	6.06	7.15	POINTING	b	LH	1
5	1	5	1-7	8.12	8.83	POINTING	a	RH mov, LH stat	1
5	1	5	1-7	10.22	11.19	POINTING	D	RH mov, LH hold	2
5	1	5	1-7	14.71	15.14	POINTING	a	RH mov, LH stat	1
5	1	5	1-7	21.37	21.92	POINTING	a	RH mov, LH hold	2
5	1	5	1-7	24.16	25.22	POINTING	C	RH mov, LH hold	1
5	1	5	1-7	26.195	26.545	POINTING	a	RH mov, LH hold	1
5	1	5	1-7	26.945	28.255	POINTING	b	RH mov, LH hold	2
5	2	5	2-1	15.19	16.31	GRASPING	a	RH	2
5	2	5	2-1	17.27	18.49	GRASPING	b	RH	1
5	2	5	2-1	25.69	27.0	GRASPING	b	RH	2
5	2	5	2-1	28.33	29.1	GRASPING	a	RH	1
5	2	5	2-2	0.03	0.67	POINTING	a	RH	1
5	2	5	2-2	5.34	6.02	GRASPING	b	RH	2
5	2	5	2-2	6.26	6.72	GRASPING	a	RH	1
6	1	6	1-1	10.26	10.97	GRASPING	b	LH mov, RH hold	1
6	1	6	1-1	12.81	13.44	GRASPING	a	RH mov, LH hold	1
6	1	6	1-1	17.25	18.12	GRASPING	C	LH mov, RH hold	2
6	1	6	1-1	26.52	27.72	GRASPING	a	LH mov, RH hold	1
6	1	6	1-1	32.06	32.92	GRASPING	b	RH mov, LH hold	1
6	1	6	1-1	35.1	36.24	GRASPING	a	LH stat, RH mov	2
6	1	6	1-2	9.53	10.2	GRASPING	a	RH mov, LH stat	1
6	1	6	1-2	11.332	12.124	GRASPING	b	LH stat, RH mov	1
6	1	6	1-2	13.285	13.941	GRASPING	a	RH mov, LH hold	2
6	1	6	1-2	56.895	57.697	GRASPING	a	RH mov, LH stat	1
6	1	6	1-2	58.009	58.707	GRASPING	b	RH mov, LH stat	2
6	1	6	1-3	1.83	2.48	GRASPING	C	RH mov, LH hold	1
6	1	6	1-3	4.79	5.54	GRASPING	b	RH mov, LH stat	1
6	1	6	1-3	6.31	6.98	GRASPING	a	RH mov, LH stat	1
6	1	6	1-3	8.2	8.89	GRASPING	D	LH	2
6	1	6	1-3	32.95	33.72	GRASPING	a	RH mov, LH stat	1
6	1	6	1-3	34.2	35.36	GRASPING	b	LH mov, RH hold	1
6	1	6	1-3	37.725	38.455	GRASPING	a	RH mov, LH stat	2
6	1	6	1-3	40.465	41.175	GRASPING	C	RH mov, LH stat	1
6	1	6	1-3	45.705	46.765	GRASPING	a	RH mov, LH stat	1
6	1	6	1-3	47.88	48.74	GRASPING	b	LH	2
6	1	6	1-3	50.965	51.705	GRASPING	a	RH mov, LH stat	1
6	2	6	2-1	6.18	7.17	GRASPING	a	RH mov, LH stat	2
6	2	6	2-1	9.9	10.69	GRASPING	b	RH mov, LH hold	1
6	2	6	2-1	12.99	14.34	GRASPING	a	RH mov, LH hold	1
6	2	6	2-1	18.04	19.12	GRASPING	C	LH mov, RH hold	2
6	2	6	2-1	52.21	52.9	GRASPING	a	LH mov, RH hold	1
6	2	6	2-1	52.945	53.645	GRASPING	b	RH mov, LH hold	2
6	2	6	2-1	56.175	56.885	GRASPING	a	LH stat, RH mov	1
6	2	6	2-1	57.82	59.08	GRASPING	C	RH mov, LH hold	1
6	2	6	2-2	2.14	2.87	GRASPING	b	RH mov, LH stat	1
6	2	6	2-2	3.52	4.12	GRASPING	a	RH mov, LH stat	1
6	2	6	2-2	4.93	5.73	GRASPING	D	LH mov, RH hold	2
6	2	6	2-2	20.18	20.75	GRASPING	a	RH mov, LH hold	1
6	2	6	2-2	22.49	23.16	GRASPING	b	LH mov, RH hold	1
6	2	6	2-2	25.025	25.655	GRASPING	a	RH mov, LH stat	2
6	2	6	2-2	27.14	27.88	GRASPING	C	RH mov, LH hold	1
6	2	6	2-2	31.96	32.57	GRASPING	a	RH mov, LH stat	1
6	2	6	2-2	33.575	34.415	GRASPING	b	LH mov, RH hold	2
6	2	6	2-2	36.085	36.695	GRASPING	a	RH	1
