DISK	GESTURE	HANDS	DISTANCE	NUMBER	BEGIN	END	COMMENT
A	GRASPING	R	1	1	2.2999999999999998	2.59	
B	GRASPING	R	2	2	2.91	3.51	missing gesture
A	GRASPING	R	1	3	5.57	5.99	
C	GRASPING	R	1	4	7.56	8.2100000000000009	missing gesture
A	GRASPING	R	2	5	9.26	9.82	
B	GRASPING	R	1	6	11.23	11.93	
A	GRASPING	R	1	7	13.43	13.63	
D	GRASPING	R	2	8	15.53	15.81	
A	GRASPING	R	1	9	16.489999999999998	17.87	
B	GRASPING	R	1	10	19.239999999999998	19.600000000000001	
A	GRASPING	R	2	11	22.49	22.92	
C	GRASPING	R	1	12	24.08	24.8	
A	GRASPING	R	1	13	26.43	26.67	
B	GRASPING	R	2	14	28.22	28.66	
A	GRASPING	R	1	15	28.85	29.25	
